2026-05-27 23:12:13,874 | preprocess | INFO | Audio diproses: 2308_audio04.wav
2026-05-27 23:12:31,593 | preprocess | INFO | Audio diproses: 2308_audio05.wav
2026-05-27 23:12:51,762 | preprocess | INFO | Audio diproses: 2308_audio06.wav
2026-05-27 23:13:09,860 | preprocess | INFO | Audio diproses: 2308_audio12.wav
2026-05-27 23:13:27,764 | preprocess | INFO | Audio diproses: 2308_audio13.wav
2026-05-27 23:13:45,756 | preprocess | INFO | Audio diproses: 2308_audio15.wav
2026-05-27 23:14:04,111 | preprocess | INFO | Audio diproses: 2308_audio17.wav
2026-05-27 23:14:22,314 | preprocess | INFO | Audio diproses: 2309_audio01.wav
2026-05-27 23:14:40,408 | preprocess | INFO | Audio diproses: 2309_audio02.wav
2026-05-27 23:14:58,533 | preprocess | INFO | Audio diproses: 2309_audio03.wav
2026-05-27 23:15:16,808 | preprocess | INFO | Audio diproses: 2309_audio04.wav
2026-05-27 23:15:34,799 | preprocess | INFO | Audio diproses: 2309_audio05.wav
2026-05-27 23:15:55,397 | preprocess | INFO | Audio diproses: 2309_audio06.wav
2026-05-27 23:16:13,290 | preprocess | INFO | Audio diproses: 2309_audio08.wav
2026-05-27 23:16:31,528 | preprocess | INFO | Audio diproses: 2309_audio12.wav
2026-05-27 23:16:49,463 | preprocess | INFO | Audio diproses: 2309_audio15.wav
2026-05-27 23:17:07,916 | preprocess | INFO | Audio diproses: 2309_audio17.wav
2026-05-27 23:17:26,006 | preprocess | INFO | Audio diproses: 2310_Audio01.wav
2026-05-27 23:17:44,231 | preprocess | INFO | Audio diproses: 2310_Audio02.wav
2026-05-27 23:18:02,034 | preprocess | INFO | Audio diproses: 2310_Audio03.wav
2026-05-27 23:18:20,349 | preprocess | INFO | Audio diproses: 2310_Audio04.wav
2026-05-27 23:18:37,991 | preprocess | INFO | Audio diproses: 2310_Audio05.wav
2026-05-27 23:18:57,841 | preprocess | INFO | Audio diproses: 2310_Audio06.wav
2026-05-27 23:19:15,587 | preprocess | INFO | Audio diproses: 2310_Audio07.wav
2026-05-27 23:19:33,842 | preprocess | INFO | Audio diproses: 2310_Audio11.wav
2026-05-27 23:19:51,584 | preprocess | INFO | Audio diproses: 2310_Audio14.wav
2026-05-27 23:20:09,182 | preprocess | INFO | Audio diproses: 2310_Audio20.wav
2026-05-27 23:20:49,586 | preprocess | INFO | Audio diproses: 2311_audio01.wav
2026-05-27 23:21:07,847 | preprocess | INFO | Audio diproses: 2311_audio02.wav
2026-05-27 23:21:25,882 | preprocess | INFO | Audio diproses: 2311_audio03.wav
